,Unnamed: 0,date,type,year,avg_price,size,nb_sold
52,52,2016-12-25,conventional,2016,1.0,,9255125.2
53,53,2016-12-18,conventional,2016,0.96,small,9394065.91
54,54,2016-12-11,conventional,2016,0.98,small,9009996.11
55,55,2016-12-04,conventional,2016,1.0,small,11043350.9
56,56,2016-11-27,conventional,2016,1.21,small,7891487.94
57,57,2016-11-20,conventional,2016,1.27,small,8531160.52
58,58,2016-11-13,conventional,2016,1.36,small,8235135.43
59,59,2016-11-06,conventional,2016,1.44,small,7804252.91
60,60,2016-10-30,conventional,2016,1.43,small,7100458.82
61,61,2016-10-23,conventional,2016,1.34,small,7579629.06
62,62,2016-10-16,conventional,2016,1.3,small,8810664.45
63,63,2016-10-09,conventional,2016,1.27,small,9552502.48
64,64,2016-10-02,conventional,2016,1.23,small,9534915.56
65,65,2016-09-25,conventional,2016,1.22,small,10548061.13
66,66,2016-09-18,conventional,2016,1.15,small,11337829.1
67,67,2016-09-11,conventional,2016,1.08,small,12962762.94
68,68,2016-09-04,conventional,2016,1.04,small,14643465.52
69,69,2016-08-28,conventional,2016,1.09,small,12561055.5
70,70,2016-08-21,conventional,2016,1.1,small,12725249.3
71,71,2016-08-14,conventional,2016,1.12,small,12352932.68
72,72,2016-08-07,conventional,2016,1.15,small,12197105.36
73,73,2016-07-31,conventional,2016,1.23,small,10168972.37
74,74,2016-07-24,conventional,2016,1.2,small,10331314.28
75,75,2016-07-17,conventional,2016,1.15,small,10320463.27
76,76,2016-07-10,conventional,2016,1.1,small,11457080.38
77,77,2016-07-03,conventional,2016,1.06,small,12508937.27
78,78,2016-06-26,conventional,2016,1.04,,12189035.17
79,79,2016-06-19,conventional,2016,1.02,small,13488851.61
80,80,2016-06-12,conventional,2016,1.04,small,12291686.69
81,81,2016-06-05,conventional,2016,0.97,small,13808859.16
82,82,2016-05-29,conventional,2016,0.94,small,13682611.21
83,83,2016-05-22,conventional,2016,0.93,small,11711999.81
84,84,2016-05-15,conventional,2016,0.89,small,12447598.49
85,85,2016-05-08,conventional,2016,0.82,small,14223304.98
86,86,2016-05-01,conventional,2016,0.84,small,13748944.38
87,87,2016-04-24,conventional,2016,0.87,small,12913697.19
88,88,2016-04-17,conventional,2016,0.9,small,11954487.56
89,89,2016-04-10,conventional,2016,0.9,small,12879820.47
90,90,2016-04-03,conventional,2016,0.94,small,11320969.79
91,91,2016-03-27,conventional,2016,0.94,small,11249198.4
92,92,2016-03-20,conventional,2016,0.93,small,11134390.98
93,93,2016-03-13,conventional,2016,0.93,small,11661687.44
94,94,2016-03-06,conventional,2016,0.95,small,11824154.63
95,95,2016-02-28,conventional,2016,0.91,small,11907394.72
96,96,2016-02-21,conventional,2016,0.94,small,10015825.13
97,97,2016-02-14,conventional,2016,0.88,,11913078.3
98,98,2016-02-07,conventional,2016,0.76,small,16573573.78
99,99,2016-01-31,conventional,2016,0.93,small,11098088.49
100,100,2016-01-24,conventional,2016,0.95,small,7020459.0
101,101,2016-01-17,conventional,2016,0.94,small,10036597.84
102,102,2016-01-10,conventional,2016,0.93,small,11441286.89
103,103,2016-01-03,conventional,2016,0.86,small,11616506.17
221,221,2016-12-25,organic,2016,1.34,small,93875.25
222,222,2016-12-18,organic,2016,1.43,small,97661.23
223,223,2016-12-11,organic,2016,1.42,small,93027.82
224,224,2016-12-04,organic,2016,1.56,small,106472.53
225,225,2016-11-27,organic,2016,1.64,,100240.54
226,226,2016-11-20,organic,2016,1.63,small,110737.55
227,227,2016-11-13,organic,2016,1.7,small,110018.79
228,228,2016-11-06,organic,2016,1.68,small,117317.9
229,229,2016-10-30,organic,2016,1.93,small,123815.8
230,230,2016-10-23,organic,2016,1.63,small,131203.12
231,231,2016-10-16,organic,2016,1.5,small,114303.56
232,232,2016-10-09,organic,2016,1.52,small,127092.78
233,233,2016-10-02,organic,2016,1.71,small,131467.24
234,234,2016-09-25,organic,2016,1.69,small,119993.58
235,235,2016-09-18,organic,2016,1.67,small,127014.67
236,236,2016-09-11,organic,2016,1.52,small,144991.21
237,237,2016-09-04,organic,2016,1.54,small,137842.79
238,238,2016-08-28,organic,2016,1.49,small,135742.77
239,239,2016-08-21,organic,2016,1.51,small,177591.96
240,240,2016-08-14,organic,2016,1.48,small,186697.3
241,241,2016-08-07,organic,2016,1.55,small,151179.99
242,242,2016-07-31,organic,2016,1.58,small,156417.33
243,243,2016-07-24,organic,2016,1.65,small,159151.31
244,244,2016-07-17,organic,2016,1.63,small,152828.51
245,245,2016-07-10,organic,2016,1.51,small,152994.7
246,246,2016-07-03,organic,2016,1.47,small,159903.0
247,247,2016-06-26,organic,2016,1.5,small,171054.38
248,248,2016-06-19,organic,2016,1.45,,166983.45
249,249,2016-06-12,organic,2016,1.45,small,176286.36
250,250,2016-06-05,organic,2016,1.43,small,152105.91
251,251,2016-05-29,organic,2016,1.41,small,137449.41
252,252,2016-05-22,organic,2016,1.36,small,166883.21
253,253,2016-05-15,organic,2016,1.45,small,146037.3
254,254,2016-05-08,organic,2016,1.3,small,132225.28
255,255,2016-05-01,organic,2016,1.28,small,238992.91
256,256,2016-04-24,organic,2016,1.25,small,225429.09
257,257,2016-04-17,organic,2016,1.38,small,115155.65
258,258,2016-04-10,organic,2016,1.26,small,108747.34
259,259,2016-04-03,organic,2016,1.44,small,119283.9
260,260,2016-03-27,organic,2016,1.44,small,112620.05
261,261,2016-03-20,organic,2016,1.27,small,105069.07
262,262,2016-03-13,organic,2016,1.29,small,132040.04
263,263,2016-03-06,organic,2016,1.28,small,127184.88
264,264,2016-02-28,organic,2016,1.44,small,110120.49
265,265,2016-02-21,organic,2016,1.45,small,104135.94
266,266,2016-02-14,organic,2016,1.37,small,102897.63
267,267,2016-02-07,organic,2016,1.44,small,101408.79
268,268,2016-01-31,organic,2016,1.43,small,108929.21
269,269,2016-01-24,organic,2016,1.41,small,99316.69
270,270,2016-01-17,organic,2016,1.44,small,115992.81
271,271,2016-01-10,organic,2016,1.35,small,113867.63
272,272,2016-01-03,organic,2016,1.43,small,124799.63
390,390,2016-12-25,conventional,2016,1.0,large,10282925.61
391,391,2016-12-18,conventional,2016,0.96,large,10339168.2
392,392,2016-12-11,conventional,2016,0.98,large,9967220.02
393,393,2016-12-04,conventional,2016,1.0,,9908982.97
394,394,2016-11-27,conventional,2016,1.21,large,7337341.77
395,395,2016-11-20,conventional,2016,1.27,,8033510.82
396,396,2016-11-13,conventional,2016,1.36,large,7759608.21
397,397,2016-11-06,conventional,2016,1.44,large,7126936.31
398,398,2016-10-30,conventional,2016,1.43,large,6852046.35
399,399,2016-10-23,conventional,2016,1.34,large,8104522.26
400,400,2016-10-16,conventional,2016,1.3,,8855072.75
401,401,2016-10-09,conventional,2016,1.27,large,9579338.98
402,402,2016-10-02,conventional,2016,1.23,large,9123897.74
403,403,2016-09-25,conventional,2016,1.22,large,9255913.78
404,404,2016-09-18,conventional,2016,1.15,large,9481313.14
405,405,2016-09-11,conventional,2016,1.08,large,10380438.09
406,406,2016-09-04,conventional,2016,1.04,large,11083513.46
407,407,2016-08-28,conventional,2016,1.09,large,10420973.0
408,408,2016-08-21,conventional,2016,1.1,large,9906498.51
409,409,2016-08-14,conventional,2016,1.12,large,10879341.61
410,410,2016-08-07,conventional,2016,1.15,large,10731379.56
411,411,2016-07-31,conventional,2016,1.23,large,10423957.83
412,412,2016-07-24,conventional,2016,1.2,large,10795751.15
413,413,2016-07-17,conventional,2016,1.15,large,10628872.6
414,414,2016-07-10,conventional,2016,1.1,large,11677528.0
415,415,2016-07-03,conventional,2016,1.06,large,13315901.42
416,416,2016-06-26,conventional,2016,1.04,large,12029918.6
417,417,2016-06-19,conventional,2016,1.02,large,12842698.33
418,418,2016-06-12,conventional,2016,1.04,large,11533969.83
419,419,2016-06-05,conventional,2016,0.97,large,13396651.73
420,420,2016-05-29,conventional,2016,0.94,large,13829591.06
421,421,2016-05-22,conventional,2016,0.93,large,12981224.42
422,422,2016-05-15,conventional,2016,0.89,large,14437190.03
423,423,2016-05-08,conventional,2016,0.82,large,17896391.6
424,424,2016-05-01,conventional,2016,0.84,large,15899858.37
425,425,2016-04-24,conventional,2016,0.87,large,14382184.8
426,426,2016-04-17,conventional,2016,0.9,large,12896366.58
427,427,2016-04-10,conventional,2016,0.9,large,11538132.36
428,428,2016-04-03,conventional,2016,0.94,large,11512621.85
429,429,2016-03-27,conventional,2016,0.94,large,12745266.73
430,430,2016-03-20,conventional,2016,0.93,large,13727453.57
431,431,2016-03-13,conventional,2016,0.93,large,13104887.66
432,432,2016-03-06,conventional,2016,0.95,large,12196587.24
433,433,2016-02-28,conventional,2016,0.91,large,13210854.56
434,434,2016-02-21,conventional,2016,0.94,large,12003751.56
435,435,2016-02-14,conventional,2016,0.88,large,13187973.29
436,436,2016-02-07,conventional,2016,0.76,,20470572.61
437,437,2016-01-31,conventional,2016,0.93,large,13278053.61
438,438,2016-01-24,conventional,2016,0.95,large,14054367.5
439,439,2016-01-17,conventional,2016,0.94,,13832256.04
440,440,2016-01-10,conventional,2016,0.93,large,13226088.66
441,441,2016-01-03,conventional,2016,0.86,large,16054083.86
559,559,2016-12-25,organic,2016,1.34,large,250138.66
560,560,2016-12-18,organic,2016,1.43,large,248598.14
561,561,2016-12-11,organic,2016,1.42,,248303.87
562,562,2016-12-04,organic,2016,1.56,large,242055.86
563,563,2016-11-27,organic,2016,1.64,large,198874.09
564,564,2016-11-20,organic,2016,1.63,large,233518.72
565,565,2016-11-13,organic,2016,1.7,large,257268.83
566,566,2016-11-06,organic,2016,1.68,large,266018.89
567,567,2016-10-30,organic,2016,1.93,large,279842.5
568,568,2016-10-23,organic,2016,1.63,large,241758.21
569,569,2016-10-16,organic,2016,1.5,large,243788.95
570,570,2016-10-09,organic,2016,1.52,large,266687.47
571,571,2016-10-02,organic,2016,1.71,large,272293.48
572,572,2016-09-25,organic,2016,1.69,large,272553.74
573,573,2016-09-18,organic,2016,1.67,large,266648.5
574,574,2016-09-11,organic,2016,1.52,large,334671.53
575,575,2016-09-04,organic,2016,1.54,large,344378.75
576,576,2016-08-28,organic,2016,1.49,large,316907.28
577,577,2016-08-21,,2016,1.51,large,308314.91
578,578,2016-08-14,organic,2016,1.48,large,341463.72
579,579,2016-08-07,organic,2016,1.55,large,332421.63
580,580,2016-07-31,organic,2016,1.58,large,328942.12
581,581,2016-07-24,organic,2016,1.65,large,343780.56
582,582,2016-07-17,organic,2016,1.63,large,359772.18
583,583,2016-07-10,organic,2016,1.51,large,355101.22
584,584,2016-07-03,organic,2016,1.47,large,381527.15
585,585,2016-06-26,,2016,1.5,large,391129.07
586,586,2016-06-19,organic,2016,1.45,large,445194.49
587,587,2016-06-12,organic,2016,1.45,large,403561.49
588,588,2016-06-05,organic,2016,1.43,large,410451.71
589,589,2016-05-29,organic,2016,1.41,large,468311.32
590,590,2016-05-22,organic,2016,1.36,large,455336.56
591,591,2016-05-15,organic,2016,1.45,large,437584.52
592,592,2016-05-08,,2016,1.3,large,443777.31
593,593,2016-05-01,organic,2016,1.28,large,484383.87
594,594,2016-04-24,organic,2016,1.25,large,524511.95
595,595,2016-04-17,organic,2016,1.38,large,388081.34
596,596,2016-04-10,organic,2016,1.26,,400281.85
597,597,2016-04-03,organic,2016,1.44,large,371845.6
598,598,2016-03-27,organic,2016,1.44,large,338194.18
599,599,2016-03-20,organic,2016,1.27,large,352698.21
600,600,2016-03-13,organic,2016,1.29,,346341.46
601,601,2016-03-06,organic,2016,1.28,large,351951.65
602,602,2016-02-28,organic,2016,1.44,large,347488.78
603,603,2016-02-21,organic,2016,1.45,large,281188.89
604,604,2016-02-14,organic,2016,1.37,large,306235.69
605,605,2016-02-07,organic,2016,1.44,large,290813.54
606,606,2016-01-31,organic,2016,1.43,large,269687.52
607,607,2016-01-24,organic,2016,1.41,large,270980.88
608,608,2016-01-17,organic,2016,1.44,large,266824.72
609,609,2016-01-10,organic,2016,1.35,large,287590.19
610,610,2016-01-03,organic,2016,1.43,large,246580.95
728,728,2016-12-25,conventional,2016,1.0,extra_large,541972.42
729,729,2016-12-18,conventional,2016,0.96,extra_large,427872.42
730,730,2016-12-11,conventional,2016,0.98,extra_large,403047.93
731,731,2016-12-04,conventional,2016,1.0,extra_large,428009.84
732,732,2016-11-27,conventional,2016,1.21,extra_large,344475.9
733,733,2016-11-20,conventional,2016,1.27,extra_large,407567.78
734,734,2016-11-13,conventional,2016,1.36,extra_large,477520.95
735,735,2016-11-06,conventional,2016,1.44,extra_large,505349.44
736,736,2016-10-30,conventional,2016,1.43,extra_large,453145.26
737,737,2016-10-23,conventional,2016,1.34,extra_large,452383.96
738,738,2016-10-16,conventional,2016,1.3,extra_large,447291.48
739,739,2016-10-09,conventional,2016,1.27,extra_large,490956.88
740,740,2016-10-02,conventional,2016,1.23,extra_large,490123.01
741,741,2016-09-25,conventional,2016,1.22,extra_large,492604.3
742,742,2016-09-18,conventional,2016,1.15,extra_large,486187.39
743,743,2016-09-11,conventional,2016,1.08,extra_large,512160.27
744,744,2016-09-04,conventional,2016,1.04,extra_large,540680.89
745,745,2016-08-28,conventional,2016,1.09,extra_large,563738.54
746,746,2016-08-21,conventional,2016,1.1,extra_large,609720.87
747,747,2016-08-14,conventional,2016,1.12,extra_large,749247.02
748,748,2016-08-07,conventional,2016,1.15,extra_large,754548.53
749,749,2016-07-31,conventional,2016,1.23,extra_large,783937.09
750,750,2016-07-24,conventional,2016,1.2,extra_large,947964.05
751,751,2016-07-17,conventional,2016,1.15,extra_large,953631.47
752,752,2016-07-10,conventional,2016,1.1,extra_large,1266433.97
753,753,2016-07-03,conventional,2016,1.06,extra_large,1761343.08
754,754,2016-06-26,,2016,1.04,extra_large,1624942.43
755,755,2016-06-19,conventional,2016,1.02,extra_large,1642735.63
756,756,2016-06-12,conventional,2016,1.04,extra_large,1607344.08
757,757,2016-06-05,conventional,2016,0.97,extra_large,1770948.09
758,758,2016-05-29,conventional,2016,0.94,extra_large,1583495.93
759,759,2016-05-22,,2016,0.93,extra_large,1640829.4
760,760,2016-05-15,conventional,2016,0.89,extra_large,1753852.61
761,761,2016-05-08,conventional,2016,0.82,extra_large,1993645.36
762,762,2016-05-01,conventional,2016,0.84,extra_large,1414364.49
763,763,2016-04-24,conventional,2016,0.87,extra_large,1599863.98
764,764,2016-04-17,,2016,0.9,extra_large,1896149.5
765,765,2016-04-10,conventional,2016,0.9,extra_large,1666275.13
766,766,2016-04-03,conventional,2016,0.94,extra_large,1731910.48
767,767,2016-03-27,conventional,2016,0.94,extra_large,1880231.38
768,768,2016-03-20,conventional,2016,0.93,extra_large,1773088.87
769,769,2016-03-13,conventional,2016,0.93,extra_large,1800065.57
770,770,2016-03-06,conventional,2016,0.95,extra_large,1686475.33
771,771,2016-02-28,conventional,2016,0.91,extra_large,1560167.75
772,772,2016-02-21,conventional,2016,0.94,extra_large,1375260.47
773,773,2016-02-14,conventional,2016,0.88,extra_large,1811090.71
774,774,2016-02-07,conventional,2016,0.76,extra_large,2546439.11
775,775,2016-01-31,conventional,2016,0.93,extra_large,1643703.17
776,776,2016-01-24,conventional,2016,0.95,extra_large,1440380.36
777,777,2016-01-17,conventional,2016,0.94,extra_large,1419405.62
778,778,2016-01-10,conventional,2016,0.93,extra_large,1282612.91
779,779,2016-01-03,conventional,2016,0.86,extra_large,1560068.62
897,897,2016-12-25,organic,2016,1.34,extra_large,3415.27
898,898,2016-12-18,organic,2016,1.43,extra_large,4926.76
899,899,2016-12-11,organic,2016,1.42,extra_large,6116.44
900,900,2016-12-04,organic,2016,1.56,extra_large,2918.28
901,901,2016-11-27,organic,2016,1.64,extra_large,3381.69
902,902,2016-11-20,organic,2016,1.63,extra_large,3847.05
903,903,2016-11-13,organic,2016,1.7,extra_large,3669.98
904,904,2016-11-06,organic,2016,1.68,extra_large,5049.63
905,905,2016-10-30,organic,2016,1.93,extra_large,5661.78
906,906,2016-10-23,organic,2016,1.63,extra_large,4363.02
907,907,2016-10-16,organic,2016,1.5,extra_large,4732.27
908,908,2016-10-09,organic,2016,1.52,extra_large,5103.42
909,909,2016-10-02,organic,2016,1.71,extra_large,4904.25
910,910,2016-09-25,organic,2016,1.69,extra_large,4407.75
911,911,2016-09-18,organic,2016,1.67,extra_large,4597.27
912,912,2016-09-11,organic,2016,1.52,extra_large,3481.85
913,913,2016-09-04,organic,2016,1.54,extra_large,4653.04
914,914,2016-08-28,organic,2016,1.49,extra_large,5110.77
915,915,2016-08-21,organic,2016,1.51,extra_large,5831.02
916,916,2016-08-14,,2016,1.48,extra_large,10231.17
917,917,2016-08-07,organic,2016,1.55,extra_large,10707.18
918,918,2016-07-31,organic,2016,1.58,extra_large,9035.27
919,919,2016-07-24,organic,2016,1.65,extra_large,8612.44
920,920,2016-07-17,organic,2016,1.63,extra_large,9957.61
921,921,2016-07-10,organic,2016,1.51,extra_large,12180.53
922,922,2016-07-03,organic,2016,1.47,extra_large,11897.11
923,923,2016-06-26,organic,2016,1.5,extra_large,6763.46
924,924,2016-06-19,organic,2016,1.45,extra_large,12052.84
925,925,2016-06-12,organic,2016,1.45,extra_large,8626.89
926,926,2016-06-05,organic,2016,1.43,extra_large,7817.11
927,927,2016-05-29,organic,2016,1.41,extra_large,13698.09
928,928,2016-05-22,organic,2016,1.36,extra_large,15807.85
929,929,2016-05-15,organic,2016,1.45,extra_large,8120.53
930,930,2016-05-08,organic,2016,1.3,extra_large,26765.78
931,931,2016-05-01,organic,2016,1.28,extra_large,22276.6
932,932,2016-04-24,organic,2016,1.25,extra_large,8687.81
933,933,2016-04-17,organic,2016,1.38,extra_large,7878.94
934,934,2016-04-10,organic,2016,1.26,extra_large,12154.73
935,935,2016-04-03,organic,2016,1.44,extra_large,8628.68
936,936,2016-03-27,organic,2016,1.44,extra_large,7738.95
937,937,2016-03-20,organic,2016,1.27,extra_large,9425.64
938,938,2016-03-13,organic,2016,1.29,extra_large,6709.65
939,939,2016-03-06,organic,2016,1.28,extra_large,5698.2
940,940,2016-02-28,organic,2016,1.44,extra_large,10423.3
941,941,2016-02-21,organic,2016,1.45,extra_large,8629.03
942,942,2016-02-14,,2016,1.37,extra_large,6955.69
943,943,2016-02-07,organic,2016,1.44,extra_large,8028.75
944,944,2016-01-31,organic,2016,1.43,extra_large,5515.91
945,945,2016-01-24,organic,2016,1.41,extra_large,12933.97
946,946,2016-01-17,organic,2016,1.44,extra_large,13106.29
947,947,2016-01-10,organic,2016,1.35,extra_large,8771.79
948,948,2016-01-03,organic,2016,1.43,extra_large,7749.4
