,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
0,41,6.44E-01,0.823,2.37E+05,0.814,6.87E-01,0.117,-5.611,0.177,102.619,0.649,Jazz
1,62,8.55E-02,0.686,1.54E+05,0.67,0.00E+00,0.12,-7.626,0.225,173.915,0.636,Rap
2,42,2.39E-01,0.669,2.18E+05,0.736,1.69E-04,0.598,-3.223,0.06,145.061,0.494,Electronic
3,64,1.25E-02,0.522,2.46E+05,0.923,1.70E-02,0.085,-4.56,0.054,120.406,0.595,Rock
4,60,1.21E-01,0.78,2.29E+05,0.467,1.34E-04,0.314,-6.645,0.253,96.056,0.312,Rap
5,50,6.64E-02,0.419,2.71E+05,0.71,0.00E+00,0.097,-5.659,0.032,143.968,0.242,Alternative
6,62,1.98E-02,0.6,2.78E+05,0.912,6.52E-05,0.088,-3.449,0.072,110.339,0.506,Rock
7,70,8.23E-02,0.791,2.15E+05,0.759,4.44E-05,0.099,-5.67,0.037,124.725,0.917,Rock
8,61,6.08E-01,0.673,1.17E+05,0.349,0.00E+00,0.38,-12.414,0.037,124.451,0.609,Rock
9,71,3.14E-02,0.559,2.06E+05,0.882,1.71E-05,0.605,-4.281,0.157,126.064,0.634,Rock
10,39,9.70E-01,0.206,2.08E+05,0.116,9.59E-01,0.144,-23.543,0.046,114.943,0.038,Classical
11,67,5.31E-04,0.502,2.30E+05,0.685,1.61E-06,0.092,-5.847,0.028,81.978,0.574,Rock
12,53,3.51E-03,0.422,2.05E+05,0.953,1.03E-06,0.575,-5.927,0.123,152.009,0.2,Rock
13,29,6.84E-02,0.437,2.27E+05,0.722,8.48E-01,0.133,-8.987,0.046,139.077,0.192,Blues
14,52,3.86E-01,0.691,2.57E+05,0.551,1.15E-03,0.223,-8.984,0.039,93.979,0.654,Rock
15,65,1.71E-01,0.444,1.46E+05,0.943,6.59E-06,0.297,-3.724,0.104,125.896,0.411,Rock
16,39,3.51E-03,0.534,2.87E+05,0.653,2.05E-02,0.254,-7.358,0.031,155.693,0.434,Blues
17,52,1.78E-02,0.878,2.52E+05,0.651,0.00E+00,0.041,-8.074,0.252,92.028,0.102,Rap
18,23,1.90E-02,0.519,2.57E+05,0.875,0.00E+00,0.315,-4.542,0.041,104.04,0.546,Anime
19,67,2.38E-03,0.236,3.54E+05,0.84,2.04E-01,0.303,-3.454,0.057,129.19,0.189,Rock
20,48,7.87E-01,0.74,1.30E+05,0.565,0.00E+00,0.38,-9.483,0.054,113.713,0.844,Country
21,58,2.20E-01,0.704,2.38E+05,0.528,3.50E-01,0.14,-13.382,0.036,117.472,0.73,Rock
22,67,6.09E-02,0.648,2.42E+05,0.75,4.41E-06,0.104,-3.248,0.034,105.03,0.556,Rock
23,62,4.56E-04,0.519,1.91E+05,0.892,5.25E-04,0.572,-5.285,0.113,174.027,0.559,Rock
24,52,3.84E-03,0.544,2.10E+05,0.625,6.57E-03,0.089,-6.797,0.034,75.243,0.43,Rock
25,59,8.33E-01,0.471,2.67E+05,0.164,0.00E+00,0.101,-10.879,0.032,125.242,0.17,Rock
26,68,2.10E-02,0.424,2.55E+05,0.632,1.17E-02,0.054,-7.243,0.092,97.694,0.356,Rock
27,43,1.29E-02,0.616,2.07E+05,0.605,0.00E+00,0.112,-4.641,0.093,77.493,0.435,Alternative
28,64,7.66E-02,0.397,3.27E+05,0.499,1.55E-06,0.111,-10.972,0.069,171.067,0.367,Rock
29,32,4.65E-03,0.638,2.22E+05,0.587,9.09E-01,0.157,-6.266,0.041,145.036,0.323,Electronic
30,61,4.33E-02,0.596,1.85E+05,0.729,1.51E-01,0.135,-5.82,0.07,149.999,0.56,Rock
31,55,1.26E-01,0.779,2.17E+05,0.902,0.00E+00,0.242,-2.975,0.169,95.321,0.82,Rap
32,65,9.95E-04,0.602,2.62E+05,0.755,7.99E-02,0.412,-5.791,0.04,135.042,0.646,Rock
33,51,6.02E-01,0.658,1.41E+05,0.626,2.46E-06,0.682,-6.069,0.328,120.406,0.738,Hip-Hop
34,68,2.21E-01,0.588,2.78E+05,0.301,2.36E-03,0.128,-14.979,0.029,112.458,0.19,Rock
35,74,2.41E-02,0.469,3.83E+05,0.537,2.01E-03,0.269,-10.421,0.152,124.193,0.783,Rock
36,62,1.82E-02,0.378,3.40E+05,0.596,1.14E-05,0.144,-5.406,0.032,135.968,0.172,Rock
37,54,9.36E-01,0.696,1.31E+05,0.234,4.30E-05,0.114,-14.541,0.038,130.302,0.484,Jazz
38,65,5.27E-01,0.773,2.65E+05,0.794,3.54E-04,0.113,-4.954,0.033,101.143,0.907,Rock
39,51,3.16E-01,0.474,2.34E+05,0.508,0.00E+00,0.166,-6.845,0.024,77.31,0.358,Blues
40,53,3.64E-02,0.45,4.16E+05,0.341,2.84E-04,0.041,-14.218,0.033,118.782,0.366,Rock
41,50,5.55E-03,0.74,1.85E+05,0.497,0.00E+00,0.334,-5.309,0.152,147.026,0.067,Hip-Hop
42,33,8.40E-01,0.192,4.22E+05,0.007,8.44E-02,0.068,-37.783,0.046,79.046,0.07,Classical
43,0,9.28E-01,0.382,5.88E+05,0.161,5.59E-01,0.12,-19.09,0.053,93.319,0.266,Classical
44,62,3.16E-02,0.558,2.14E+05,0.896,0.00E+00,0.528,-3.687,0.054,90.064,0.63,Rock
45,25,1.06E-02,0.584,2.54E+05,0.925,8.57E-02,0.581,-4.09,0.164,127.984,0.053,Electronic
46,46,3.28E-02,0.569,2.05E+05,0.948,9.25E-01,0.093,-7.536,0.051,192.043,0.876,Electronic
47,53,2.16E-03,0.474,1.33E+05,0.994,1.26E-01,0.314,-1.884,0.103,171.433,0.847,Rap
48,39,1.56E-01,0.529,-1.00E+00,0.56,2.99E-02,0.155,-12.972,0.033,104.516,0.866,Country
49,34,4.41E-01,0.562,1.57E+05,0.728,3.33E-05,0.351,-9.14,0.098,78.205,0.731,Jazz
50,66,1.73E-01,0.589,2.13E+05,0.844,0.00E+00,0.076,-3.925,0.063,81.945,0.562,Rock
51,54,1.73E-02,0.575,2.46E+05,0.591,0.00E+00,0.173,-5.916,0.028,107.967,0.332,Rock
52,50,1.99E-03,0.612,2.06E+05,0.794,0.00E+00,0.078,-5.857,0.038,130.025,0.482,Rock
53,54,4.24E-01,0.669,2.69E+05,0.517,0.00E+00,0.155,-5.97,0.035,140.931,0.354,Rock
54,69,4.16E-02,0.341,2.56E+05,0.674,5.47E-06,0.345,-7.643,0.049,88.933,0.452,Rock
55,60,8.20E-02,0.803,2.47E+05,0.718,8.81E-04,0.079,-6.457,0.036,115.017,0.933,Rock
56,63,4.67E-04,0.617,2.55E+05,0.704,1.33E-05,0.326,-6.835,0.03,99.804,0.358,Rock
57,61,7.74E-02,0.486,1.99E+05,0.892,0.00E+00,0.053,-3.529,0.061,72.984,0.361,Rock
58,26,7.70E-01,0.81,1.53E+05,0.524,1.03E-05,0.161,-9.77,0.034,130.214,0.949,Blues
59,57,8.37E-02,0.498,1.76E+05,0.639,4.61E-05,0.194,-6.04,0.033,120.406,0.18,Rock
60,46,1.41E-01,0.612,3.17E+05,0.607,1.67E-01,0.104,-8.637,0.04,79.975,0.661,Electronic
61,23,1.46E-01,0.72,2.29E+05,0.425,1.08E-01,0.785,-14.148,0.71,129.929,0.548,Electronic
62,46,1.91E-03,0.504,2.52E+05,0.952,0.00E+00,0.699,-3.449,0.064,104.007,0.237,Alternative
63,30,8.06E-01,0.611,3.06E+05,0.67,9.13E-01,0.121,-9.736,0.03,95.109,0.706,Jazz
64,63,3.09E-01,0.635,2.24E+05,0.562,2.01E-06,0.11,-8.92,0.168,181.014,0.288,Hip-Hop
65,34,1.83E-02,0.544,-1.00E+00,0.784,1.72E-02,0.266,-5.031,0.061,168.364,0.462,Electronic
66,63,1.71E-01,0.348,1.84E+05,0.87,4.40E-06,0.202,-5.86,0.137,83.392,0.763,Country
67,37,2.66E-02,0.491,3.24E+05,0.943,0.00E+00,0.21,-3.046,0.035,92.483,0.396,Anime
68,11,9.29E-01,0.563,1.43E+05,0.252,6.11E-05,0.126,-10.691,0.029,111.721,0.079,Anime
69,63,3.22E-05,0.47,2.15E+05,0.885,1.96E-01,0.169,-7.224,0.035,138.153,0.79,Rock
70,79,5.70E-01,0.65,1.80E+05,0.306,7.07E-06,0.071,-9.443,0.039,118.068,0.605,Rock
71,61,7.40E-01,0.571,2.34E+05,0.281,0.00E+00,0.163,-10.56,0.048,142.263,0.294,Rock
72,53,9.17E-01,0.561,2.29E+05,0.252,0.00E+00,0.106,-9.448,0.035,144.226,0.346,Rock
73,53,2.52E-04,0.276,2.66E+05,0.883,4.62E-01,0.097,-5.625,0.045,164.052,0.164,Rock
74,45,1.26E-03,0.83,1.81E+05,0.868,1.10E-01,0.124,-4.223,0.159,149.95,0.702,Electronic
75,68,1.26E-01,0.497,1.88E+05,0.914,1.98E-05,0.274,-4.308,0.045,148.893,0.385,Rock
76,45,4.45E-01,0.715,1.97E+05,0.662,0.00E+00,0.081,-5.761,0.188,87.904,0.626,Jazz
77,62,6.00E-03,0.464,2.13E+05,0.797,3.04E-04,0.392,-5.244,0.033,129.964,0.547,Rock
78,57,4.02E-01,0.498,-1.00E+00,0.806,5.74E-06,0.525,-5.284,0.026,120.406,0.664,Rock
79,47,5.40E-02,0.482,-1.00E+00,0.627,2.99E-06,0.111,-5.779,0.03,95.903,0.17,Alternative
80,49,1.17E-02,0.562,2.84E+05,0.896,0.00E+00,0.322,-7.974,0.203,93.378,0.362,Alternative
81,63,1.62E-02,0.715,-1.00E+00,0.656,5.01E-04,0.088,-6.154,0.026,126.01,0.423,Rock
82,25,9.96E-01,0.36,1.98E+05,0.061,8.85E-01,0.11,-25.708,0.045,92.864,0.11,Classical
83,51,9.25E-03,0.6,2.01E+05,0.9,2.93E-01,0.269,-8.434,0.046,120.406,0.918,Rock
84,55,8.41E-02,0.306,3.85E+05,0.639,0.00E+00,0.371,-9.91,0.034,149.686,0.293,Rock
85,58,1.71E-01,0.518,3.03E+05,0.744,7.63E-06,0.109,-7.106,0.035,98.022,0.161,Rock
86,40,6.36E-04,0.384,1.80E+05,0.917,4.35E-05,0.409,-4.516,0.194,79.478,0.443,Blues
87,57,1.23E-01,0.749,2.38E+05,0.649,0.00E+00,0.371,-8.623,0.053,120.068,0.146,Hip-Hop
88,35,1.53E-02,0.55,2.06E+05,0.734,0.00E+00,0.2,-5.72,0.031,74.995,0.592,Country
89,60,4.85E-05,0.518,1.90E+05,0.718,2.44E-01,0.25,-4.355,0.034,127.593,0.531,Rock
90,37,6.78E-01,0.73,1.64E+05,0.43,1.99E-06,0.179,-8.232,0.043,123.472,0.572,Jazz
91,48,4.49E-01,0.667,1.50E+05,0.485,2.33E-06,0.072,-7.164,0.06,119.161,0.768,Jazz
92,57,7.35E-01,0.717,1.46E+05,0.373,0.00E+00,0.303,-7.185,0.061,138.513,0.538,Rock
93,51,1.51E-01,0.766,2.92E+05,0.681,8.68E-05,0.266,-6.919,0.057,141.94,0.853,Rock
94,51,2.24E-02,0.647,2.34E+05,0.69,0.00E+00,0.147,-8.657,0.045,117.514,0.682,Alternative
95,57,5.80E-01,0.518,-1.00E+00,0.417,0.00E+00,0.072,-13.268,0.033,120.406,0.311,Rock
96,63,3.84E-03,0.635,1.90E+05,0.908,8.34E-02,0.239,-4.795,0.056,110.012,0.637,Rock
97,54,2.29E-01,0.862,1.49E+05,0.598,3.04E-03,0.135,-6.667,0.061,141.934,0.561,Hip-Hop
98,69,4.56E-04,0.412,2.27E+05,0.92,2.60E-03,0.11,-4.852,0.058,93.162,0.455,Rock
99,13,8.26E-01,0.153,2.05E+05,0.359,8.88E-01,0.082,-17.719,0.038,83.894,0.313,Anime
100,53,2.58E-01,0.492,2.02E+05,0.724,1.62E-01,0.255,-6.79,0.033,84.237,0.323,Rock
101,35,4.37E-01,0.62,1.84E+05,0.611,2.88E-02,0.118,-10.708,0.028,93.119,0.689,Blues
102,64,5.07E-02,0.693,1.85E+05,0.563,2.10E-03,0.112,-8.553,0.068,155.962,0.618,Rap
103,64,2.63E-01,0.782,-1.00E+00,0.508,7.06E-02,0.157,-7.153,0.231,137.954,0.356,Hip-Hop
104,47,2.30E-01,0.622,1.96E+05,0.448,0.00E+00,0.102,-10.709,0.026,120.406,0.553,Alternative
105,37,1.92E-01,0.265,2.05E+05,0.641,9.52E-01,0.11,-6.854,0.033,186.004,0.167,Classical
106,51,2.73E-04,0.616,-1.00E+00,0.985,1.45E-04,0.111,-1.598,0.083,109.979,0.487,Rock
107,55,8.30E-01,0.387,-1.00E+00,0.194,1.45E-03,0.131,-10.829,0.031,121.7,0.086,Rock
108,57,9.29E-02,0.68,1.87E+05,0.798,0.00E+00,0.075,-4.978,0.116,116.989,0.594,Rock
109,53,9.03E-01,0.637,2.14E+05,0.129,0.00E+00,0.107,-11.89,0.041,139.742,0.368,Rock
110,58,1.44E-03,0.627,1.95E+05,0.63,1.90E-01,0.337,-12.33,0.04,125.154,0.323,Rock
111,55,1.60E-01,0.525,2.57E+05,0.501,2.50E-02,0.146,-14.192,0.032,108.291,0.333,Rock
112,59,1.22E-01,0.593,2.19E+05,0.601,5.69E-06,0.181,-5.996,0.029,120.406,0.531,Rock
113,73,2.32E-01,0.848,1.82E+05,0.649,0.00E+00,0.101,-6.083,0.315,118.04,0.629,Hip-Hop
114,27,7.02E-01,0.738,1.60E+05,0.411,8.60E-03,0.106,-8.988,0.051,76.005,0.651,Blues
115,59,2.05E-01,0.674,-1.00E+00,0.892,0.00E+00,0.694,-3.771,0.029,114.048,0.889,Rock
116,41,1.78E-01,0.7,2.27E+05,0.679,0.00E+00,0.079,-7.019,0.117,78.817,0.412,Country
117,48,1.31E-01,0.886,2.56E+05,0.503,6.92E-04,0.104,-7.189,0.044,120.406,0.55,Hip-Hop
118,56,2.98E-01,0.632,1.80E+05,0.742,0.00E+00,0.433,-7.041,0.085,160.037,0.657,Rap
119,71,2.72E-02,0.577,1.69E+05,0.939,0.00E+00,0.24,-1.352,0.108,105.092,0.714,Rock
120,52,1.50E-01,0.835,1.71E+05,0.873,0.00E+00,0.304,-4.052,0.247,122.019,0.833,Rap
121,44,7.10E-01,0.627,3.71E+05,0.496,8.31E-01,0.343,-11.866,0.04,95,0.08,Electronic
122,54,1.73E-01,0.811,2.51E+05,0.472,4.07E-01,0.097,-13.446,0.043,131.983,0.822,Rock
123,53,8.24E-03,0.502,2.12E+05,0.758,0.00E+00,0.102,-5.035,0.072,149.738,0.423,Rock
124,47,1.11E-01,0.69,2.68E+05,0.74,8.07E-01,0.09,-5.509,0.074,144.935,0.363,Electronic
125,63,3.50E-01,0.691,1.99E+05,0.336,6.84E-04,0.119,-10.843,0.039,135.954,0.613,Rock
126,64,1.65E-03,0.519,2.39E+05,0.78,2.14E-05,0.156,-4.939,0.036,145.125,0.166,Rock
127,47,3.24E-01,0.644,8.58E+04,0.722,8.92E-01,0.089,-4.872,0.079,89.519,0.769,Jazz
128,23,1.46E-01,0.744,1.62E+05,0.65,2.04E-01,0.224,-7.676,0.183,120.406,0.357,Electronic
129,25,3.98E-03,0.568,3.74E+05,0.587,7.40E-01,0.684,-11.238,0.033,128.008,0.038,Electronic
130,65,9.60E-02,0.643,2.49E+05,0.945,7.71E-06,0.495,-4.66,0.078,120.723,0.526,Rock
131,66,8.21E-04,0.389,1.90E+05,0.748,5.80E-04,0.358,-4.461,0.081,120.406,0.216,Rock
132,54,6.64E-03,0.496,3.16E+05,0.554,0.00E+00,0.111,-8.487,0.365,80,0.328,Rap
133,8,9.54E-01,0.084,1.62E+06,0.123,7.40E-01,0.711,-17.919,0.04,56.855,0.045,Classical
134,55,2.66E-01,0.707,2.22E+05,0.694,1.04E-06,0.283,-5.381,0.033,115.993,0.518,Rock
135,48,1.98E-01,0.741,1.95E+05,0.556,5.97E-02,0.126,-8.28,0.046,129.538,0.2,Hip-Hop
136,26,1.68E-01,0.291,5.42E+05,0.937,4.70E-01,0.86,-7.032,0.103,153.324,0.427,Blues
137,29,9.72E-01,0.154,4.50E+05,0.012,8.47E-01,0.071,-31.067,0.047,80.151,0.052,Classical
138,55,3.49E-01,0.446,2.46E+05,0.519,5.99E-03,0.249,-7.585,0.027,151.267,0.383,Country
139,53,1.33E-02,0.229,2.16E+05,0.871,2.18E-06,0.266,-4.558,0.103,86.965,0.395,Rock
140,30,9.15E-01,0.479,1.24E+05,0.217,8.16E-04,0.085,-11.499,0.029,74.864,0.364,Jazz
141,18,9.03E-01,0.477,-1.00E+00,0.221,8.52E-01,0.113,-20.078,0.033,128.154,0.198,Anime
142,28,4.22E-01,0.585,2.32E+05,0.726,2.35E-02,0.332,-12.614,0.055,126.105,0.884,Blues
143,51,4.24E-02,0.512,2.06E+05,0.552,2.13E-03,0.111,-9.499,0.035,143.977,0.21,Rock
144,48,3.34E-01,0.768,1.93E+05,0.766,0.00E+00,0.115,-3.697,0.089,129.985,0.676,Rap
145,73,2.49E-02,0.413,-1.00E+00,0.677,0.00E+00,0.079,-5.12,0.255,120.406,0.085,Hip-Hop
146,64,2.79E-01,0.723,2.98E+05,0.691,0.00E+00,0.036,-6.784,0.219,138.038,0.512,Hip-Hop
147,64,7.90E-01,0.727,1.34E+05,0.338,0.00E+00,0.105,-13.887,0.045,122.421,0.646,Rock
148,61,8.36E-01,0.33,1.87E+05,0.214,7.01E-02,0.178,-17.699,0.031,147.795,0.275,Rock
149,61,8.24E-02,0.571,2.26E+05,0.698,3.70E-03,0.279,-5.056,0.035,120.406,0.61,Rock
150,51,2.58E-02,0.445,-1.00E+00,0.882,8.08E-04,0.082,-4.979,0.109,144.28,0.573,Alternative
151,59,3.10E-02,0.513,2.43E+05,0.77,0.00E+00,0.198,-5.131,0.028,120.406,0.849,Rock
152,32,7.44E-04,0.471,2.29E+05,0.944,5.87E-04,0.193,-4.673,0.069,94.414,0.763,Blues
153,41,8.73E-02,0.364,1.88E+05,0.845,1.40E-06,0.084,-4.115,0.057,130.022,0.428,Blues
154,69,1.56E-02,0.711,2.49E+05,0.924,0.00E+00,0.114,-3.398,0.028,108.033,0.912,Rock
155,74,4.59E-02,0.655,-1.00E+00,0.835,0.00E+00,0.409,-3.451,0.059,91.035,0.165,Rap
156,52,1.52E-01,0.715,1.30E+05,0.684,0.00E+00,0.473,-8.138,0.549,89.963,0.767,Hip-Hop
157,33,9.33E-01,0.304,-1.00E+00,0.126,9.39E-01,0.124,-20.634,0.029,84.377,0.307,Jazz
158,57,1.64E-02,0.638,1.91E+05,0.682,1.09E-05,0.457,-3.798,0.053,142.977,0.206,Rock
159,58,1.07E-03,0.5,2.07E+05,0.836,4.03E-05,0.197,-6.165,0.045,90.011,0.41,Rock
160,24,6.33E-03,0.606,1.87E+05,0.8,9.04E-06,0.506,-4.194,0.027,130.006,0.691,Rock
161,63,1.29E-02,0.826,1.31E+05,0.914,0.00E+00,0.079,-2.925,0.266,93.532,0.687,Rap
162,61,1.74E-03,0.564,2.57E+05,0.941,6.42E-05,0.242,-4.787,0.051,112.008,0.542,Rock
163,63,4.14E-02,0.325,1.53E+05,0.872,0.00E+00,0.478,-2.535,0.101,199.842,0.744,Rock
164,65,7.23E-01,0.714,-1.00E+00,0.343,5.48E-06,0.102,-7.641,0.38,72.348,0.372,Rap
165,61,2.14E-02,0.426,2.72E+05,0.805,0.00E+00,0.095,-5.828,0.04,88.088,0.219,Rock
166,38,7.33E-01,0.54,-1.00E+00,0.37,9.32E-04,0.089,-12.017,0.046,88.36,0.208,Blues
167,34,3.23E-06,0.275,1.45E+05,0.958,9.59E-01,0.315,-9.171,0.041,99.993,0.727,Blues
168,46,1.29E-01,0.676,4.92E+05,0.352,2.83E-01,0.11,-10.239,0.035,121.438,0.492,Alternative
169,6,9.78E-01,0.239,7.09E+05,0.051,8.74E-01,0.101,-23.135,0.045,110.333,0.039,Classical
170,50,2.63E-03,0.884,2.29E+05,0.855,1.04E-03,0.05,-8.919,0.227,99.018,0.415,Rap
171,62,2.34E-02,0.628,2.11E+05,0.797,3.57E-06,0.112,-6.103,0.037,120.406,0.497,Rock
172,69,1.97E-03,0.352,-1.00E+00,0.912,0.00E+00,0.193,-4.253,0.072,166.795,0.351,Rock
173,63,1.05E-02,0.359,5.64E+05,0.762,2.81E-01,0.368,-8.323,0.032,89.259,0.167,Rock
174,62,1.29E-02,0.595,3.42E+05,0.804,1.97E-05,0.299,-7.911,0.033,89.846,0.586,Rock
175,48,1.85E-02,0.328,5.74E+05,0.479,6.82E-01,0.268,-13.336,0.031,119.596,0.057,Rock
176,52,2.97E-03,0.399,2.94E+05,0.925,7.99E-01,0.106,-5.45,0.038,176.009,0.145,Electronic
177,55,3.94E-03,0.507,2.08E+05,0.663,1.89E-04,0.13,-9.163,0.139,94.884,0.327,Rock
178,51,4.25E-01,0.436,1.55E+05,0.655,0.00E+00,0.393,-8.153,0.159,139.712,0.523,Alternative
179,55,1.78E-01,0.687,2.42E+05,0.651,8.79E-03,0.149,-6.696,0.025,119.937,0.514,Rock
180,55,6.51E-04,0.2,1.84E+05,0.863,0.00E+00,0.339,-3.424,0.063,93.977,0.468,Alternative
181,12,9.91E-01,0.254,1.07E+05,0.203,8.86E-01,0.313,-19.116,0.04,109.666,0.172,Classical
182,40,1.02E-01,0.558,1.97E+05,0.837,0.00E+00,0.065,-4.385,0.036,170.034,0.857,Country
183,60,6.48E-01,0.443,1.59E+05,0.489,4.24E-01,0.131,-6.932,0.035,124.031,0.052,Rock
184,63,7.88E-01,0.688,1.66E+05,0.711,2.64E-05,0.068,-10.453,0.083,152.277,0.935,Rock
185,57,1.26E-04,0.626,1.89E+05,0.791,2.19E-02,0.439,-2.734,0.072,133.204,0.433,Rock
186,62,9.04E-02,0.395,2.35E+05,0.538,4.53E-04,0.069,-10.3,0.046,150.785,0.369,Rock
187,54,5.93E-02,0.608,2.33E+05,0.863,0.00E+00,0.228,-4.87,0.131,150.029,0.476,Rap
188,59,3.86E-04,0.542,1.84E+05,0.939,3.85E-06,0.093,-4.166,0.082,129.983,0.256,Rock
189,58,6.69E-01,0.741,1.43E+05,0.363,0.00E+00,0.117,-12.484,0.034,123.263,0.859,Rock
190,56,8.50E-02,0.752,2.29E+05,0.619,0.00E+00,0.107,-8.156,0.086,120.406,0.386,Rap
191,57,7.86E-01,0.127,2.89E+05,0.335,4.27E-01,0.111,-8.298,0.033,77.078,0.069,Alternative
192,58,9.10E-03,0.668,3.00E+05,0.803,1.82E-03,0.571,-11.282,0.046,115.386,0.423,Rock
193,31,5.69E-01,0.449,2.50E+05,0.871,1.93E-06,0.401,-2.365,0.071,204.048,0.786,Anime
194,55,4.59E-01,0.657,2.11E+05,0.69,0.00E+00,0.122,-6.866,0.03,112.014,0.573,Rock
195,53,3.77E-04,0.138,2.58E+05,0.691,7.86E-01,0.089,-7.976,0.044,170.342,0.36,Rock
196,55,2.26E-02,0.448,2.25E+05,0.55,2.05E-01,0.043,-7.427,0.026,81.814,0.709,Rock
197,51,5.37E-03,0.507,2.31E+05,0.686,0.00E+00,0.124,-4.974,0.04,120.406,0.389,Rock
198,61,5.17E-01,0.668,2.29E+05,0.477,4.46E-01,0.139,-8.709,0.036,88.005,0.097,Rock
